Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
mellegue,مـــــلاق,0.0241282,1,0.0,8.81804,1.12348,7.65798,0.0,11.1508,12.6216,14.8027,114.183,14.5618,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2024-03-16 00:00:00
sarrat,سراط,0.000713428,36,0.076415,6.75642,0.131568,1.96184,0.498819,1.83912,1.903,2.79072,11.2456,2.99817,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2024-03-16 00:00:00
benmetir,بنيمطيــر,0.0364534,2,0.03456,41.9295,2.17225,27.4869,0.55296,6.84288,7.20793,7.56689,33.7292,20.1449,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2024-03-16 00:00:00
kasseb,كســاب,0.0523496,3,0.028512,22.977,1.85002,22.7143,0.47124,6.56965,7.47992,8.64542,34.8313,13.6443,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2024-03-16 00:00:00
barbara,بربرة,0.0607739,4,0.095794,59.7173,4.85618,65.3577,4.54217,58.4,11.9027,18.6586,67.6031,62.1696,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2024-03-16 00:00:00
sidisalem,سيدي ســــالم,0.401331,5,0.0432,245.67,22.2501,110.428,0.759766,49.7947,72.7512,31.6698,286.529,97.0883,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2024-03-16 00:00:00
bouheurtma,بو هرتمـــــه,0.0659061,6,0.028526,72.1785,4.40184,48.2184,0.420955,9.46,14.2708,14.9793,62.8368,25.1716,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2024-03-16 00:00:00
joumine,جوميــــــن,0.128821,7,0.096372,33.444,3.92261,26.6068,1.57795,5.39307,12.5586,17.0336,61.1217,25.1908,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2024-03-16 00:00:00
ghezala,غزالـــــــة,0.0224633,8,0.0,2.51767,0.240733,2.09353,0.0,1.0881,1.56608,1.35777,7.54318,3.84843,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2024-03-16 00:00:00
melah,المالح,0.0853264,33,0.05561,7.4722,2.67884,10.2582,0.323982,7.48552,5.89,7.65095,20.44,8.796,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2024-03-16 00:00:00
tine,الطين,0.00180009,34,0.0,3.775,0.094009,2.31504,0.0,0.0,2.18,1.4473,14.3455,2.5633,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2024-03-16 00:00:00
sejnane,سجنــــــان,0.1281,9,0.897768,45.1217,10.7417,47.494,14.0699,150.703,16.7054,53.5157,103.026,85.3132,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2024-03-16 00:00:00
zarga,الزرقة,0.00208623,10,0.0,23.698,1.61969,17.7202,2.01671,6.76546,3.41,6.02931,17.74,16.4,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2024-03-16 00:00:00
kebir,الكبير,0.00426595,31,0.0,28.16,1.8692,19.0808,0.0,0.0,5.17428,6.96217,33.0187,6.6612,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2024-03-16 00:00:00
moula,المولى,0.0408033,32,0.09884,23.06,0.994197,10.5725,1.0871,11.8925,3.48188,2.97481,28.0784,26.2795,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2024-03-16 00:00:00
selbarrak,سيدي البــــراق,0.186354,11,0.46128,142.183,14.3043,119.791,8.8858,72.1408,46.3079,77.1907,247.815,185.517,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2024-03-16 00:00:00
ziatine,الزياتين,0.0105226,12,0.032943,14.7059,2.00383,8.9992,0.550985,7.51909,2.95,13.7035,24.5177,22.6176,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2024-03-16 00:00:00
gamgoum,القمقوم,0.00351146,13,0.0267,14.7378,0.607445,2.87459,0.4503,4.36497,1.45458,5.9281,7.11662,17.9228,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2024-03-16 00:00:00
harka,الحركة,0.00397939,35,0.0,9.2563,0.473104,5.08108,0.0,14.1918,2.53,8.72722,20.7174,30.2284,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2024-03-16 00:00:00
siliana,سليانـــــــة,0.00590234,14,0.0,8.09756,0.20022,4.1138,0.0,0.1382,5.336,3.48951,26.7655,4.92177,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2024-03-16 00:00:00
lakhmess,لخمـــــــاس,0.00139583,15,0.000523,1.85957,0.0496664,0.522587,0.0070858,1.06597,1.78231,0.707903,8.6232,3.81827,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2024-03-16 00:00:00
rmil,الرميـــــــل,0.000887963,16,0.0,0.6488,0.0126103,0.381338,0.00792,0.036828,1.58175,0.240843,8.48068,0.304,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2024-03-16 00:00:00
birmcherga,بئر المشارقـــة,0.0,17,0.0012,12.8088,0.0904085,6.53953,0.0192,0.872584,2.4676,2.14306,20.8083,13.108,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2024-03-16 00:00:00
rmel,الرمــــــل,0.0,18,0.0065,4.4344,0.103336,6.10044,0.095,0.553494,1.86195,1.0082,13.6966,0.900043,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2024-03-16 00:00:00
nebhana,نبهانــــــة,0.00329858,19,0.00967,2.73029,0.0387042,1.35316,0.03699,0.969481,3.55211,1.72511,16.7693,7.3108,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2024-03-16 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.037535,28.8406,0.176912,3.34619,0.511946,2.27884,2.95265,6.91885,33.6032,30.6007,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2024-03-16 00:00:00
elhaouareb,هـــــــوارب,7.66812e-05,21,0.0,0.00576132,0.00107757,0.160642,0.0,0.1332,1.21275,2.84132,11.9873,0.509151,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2024-03-16 00:00:00
sficifa,سفيسيفة,0.00050505,22,0.0,1.71246,0.00562354,0.388264,0.0,0.01,0.0237058,0.266834,1.16339,1.64348,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2024-03-16 00:00:00
sidiach,سيدي يعيــــش,0.00129375,23,0.0,1.337,0.0147488,0.274534,0.0,0.0,0.0200728,0.605067,1.44532,1.91932,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2024-03-16 00:00:00
elbrek,البــــــــرك,0.0006105,24,0.0,0.06,0.0069597,0.151806,0.0,0.0,0.32954,0.136752,1.87318,0.06,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2024-03-16 00:00:00
bezirk,بزيـــــــغ,0.000693772,25,0.0,0.20466,0.00537262,0.205675,0.0,0.214,0.501218,0.253816,4.0834,0.5928,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2024-03-16 00:00:00
chiba,شيبـــــــة,1.24362e-06,26,0.0,0.000475792,1.68159e-05,0.000317178,0.0,0.0,0.850857,0.00997962,5.58344,0.00239247,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2024-03-16 00:00:00
masri,مصــــــري,0.00641864,27,0.02,1.72596,0.0106091,1.20228,0.23,4.28291,0.542286,0.564176,3.63887,2.32994,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2024-03-16 00:00:00
lebna,لبنــــــــة,0.00157384,28,0.0,0.721421,0.0137741,0.421684,0.0,0.0,2.21669,0.677683,15.963,2.48475,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2024-03-16 00:00:00
hma,الحمـــــى,0.0,29,0.0,0.50366,0.000346673,0.759769,0.007003,0.007003,0.91804,0.136751,3.90347,0.265552,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2024-03-16 00:00:00
abid,العبيـــــــد,0.0,30,0.0,0.840092,0.00479253,0.268993,0.0,0.0,0.951204,0.331512,4.5621,1.05261,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2024-03-16 00:00:00
mellegue,مـــــلاق,0.0241217,1,0.0,8.79698,1.09935,7.63385,0.0,11.1508,12.6216,14.7916,113.776,14.5893,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2024-03-15 00:00:00
sarrat,سراط,0.0271512,36,0.090044,6.83607,0.130855,1.96113,0.422404,1.7627,1.903,2.79072,11.1842,3.00446,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2024-03-15 00:00:00
